2018/08/18 12:48:52 [error] 8272#9504: *2 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:52:01 [error] 8272#9504: *7 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:52:01 [error] 8272#9504: *8 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:52:01 [error] 8272#9504: *9 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:53:15 [error] 8272#9504: *13 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:53:15 [error] 8272#9504: *14 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:53:15 [error] 8272#9504: *15 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:54:39 [error] 8272#9504: *19 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:54:39 [error] 8272#9504: *20 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:54:39 [error] 8272#9504: *21 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:56:09 [error] 8272#9504: *25 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:56:09 [error] 8272#9504: *26 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 12:56:09 [error] 8272#9504: *27 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good34.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good34.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 13:09:12 [error] 8272#9504: *31 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good36.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good36.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
2018/08/18 13:09:12 [error] 8272#9504: *32 CreateFile() "D:\Study\VMS\nginx_1.13.6/html/layuiAdmin.pro-v1.0.0/src/style/res/template/good35.png" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /src/style/res/template/good35.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/start/"
